"SYMBOL","SYNONYM_SYMBOL","JOIN_SYMBOL","FULL_NAME","GENUS","SPECIES","FAMILY"
"AGEX","AGEXM2","AGEXM2","Agrostis exarata Trin. var. monolepis (Torr.) Hitchc.","Agrostis","exarata","Poaceae"
"AGEX","AGEXP2","AGEXP2","Agrostis exarata Trin. var. pacifica Vasey","Agrostis","exarata","Poaceae"
"AGEX","AGEXP","AGEXP","Agrostis exarata Trin. var. purpurascens Hultén","Agrostis","exarata","Poaceae"
"AGEX","AGLO2","AGLO2","Agrostis longiligula Hitchc.","Agrostis","longiligula","Poaceae"
"AGEX","AGLOA","AGLOA","Agrostis longiligula Hitchc. var. australis J.T. Howell","Agrostis","longiligula","Poaceae"
"AGEX","AGME","AGME","Agrostis melaleuca (Trin.) Hitchc.","Agrostis","melaleuca","Poaceae"
"AGEX","AGMIM","AGMIM","Agrostis microphylla Steud. var. major Vasey","Agrostis","microphylla","Poaceae"
"AGFO",NA,"AGFO","Agastache foeniculum (Pursh) Kuntze","Agastache","foeniculum","Lamiaceae"
"AGFO","AGAN3","AGAN3","Agastache anethiodora (Nutt.) Britton","Agastache","anethiodora","Lamiaceae"
"AGFR",NA,"AGFR","Agropyron fragile (Roth) P. Candargy","Agropyron","fragile","Poaceae"
"AGFR","AGCRF","AGCRF","Agropyron cristatum (L.) Gaertn. ssp. fragile (Roth) Á. Löve","Agropyron","cristatum","Poaceae"
"AGFR","AGCRF2","AGCRF2","Agropyron cristatum (L.) Gaertn. var. fragile (Roth) Dorn","Agropyron","cristatum","Poaceae"
"AGFR","AGFRM","AGFRM","Agropyron fragile (Roth) P. Candargy ssp. mongolicum (Keng) D.R. Dewey","Agropyron","fragile","Poaceae"
"AGFR","AGFRS","AGFRS","Agropyron fragile (Roth) P. Candargy ssp. sibiricum (Willd.) Melderis","Agropyron","fragile","Poaceae"
