"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"1903","LOBIL","LOLE2","FQA_SciName","Apiaceae","Lomatium leptocarpum (Torr. & A. Gray) J.M. Coult. & Rose","Lomatium leptocarpum","Lomatium","leptocarpum",NA,"6",6,"Native","Ackerfield 2015","Lomatium bicolor var. leptocarpum","Lomatium leptocarpum","Perennial"
"1904","LOMA3","LOMA3","FQA_SciName","Apiaceae","Lomatium macrocarpum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose","Lomatium macrocarpum","Lomatium","macrocarpum",NA,"6",6,"Native","Ackerfield 2015","Lomatium macrocarpum","Lomatium macrocarpum","Perennial"
"1905","LONU3","LONU3","FQA_SciName","Apiaceae","Lomatium nuttallii (A. Gray) J.F. Macbr.","Lomatium nuttallii","Lomatium","nuttallii",NA,"6",6,"Native","Ackerfield 2015","Lomatium nuttallii","Lomatium nuttallii","Perennial"
"1906","LOOR","LOOR","FQA_SciName","Apiaceae","Lomatium orientale J.M. Coult. & Rose","Lomatium orientale","Lomatium","orientale",NA,"6",6,"Native","Ackerfield 2015","Lomatium orientale","Lomatium orientale","Perennial"
"1907","LOSIS","LOSIS","FQA_SciName","Apiaceae","Lomatium triternatum (Pursh) J.M. Coult. & Rose var. platycarpum (Torr.) Boivin","Lomatium triternatum var. platycarpum","Lomatium","triternatum","var. platycarpum","8",8,"Native","Ackerfield 2015","Lomatium simplex var. simplex","Lomatium triternatum var. platycarpum","Perennial"
"1908","LORO","LORO","FQA_SciName","Gentianaceae","Lomatogonium rotatum (L.) Fr. ex Fernald","Lomatogonium rotatum","Lomatogonium","rotatum",NA,"9",9,"Native","Ackerfield 2015","Lomatogonium rotatum","Lomatogonium rotatum","Annual, Biennial"
"1909","LOIN5","LOIN5","FQA_SciName","Caprifoliaceae","Lonicera involucrata (Richardson) Banks ex Spreng.","Lonicera involucrata","Lonicera","involucrata",NA,"7",7,"Native","Ackerfield 2015","Lonicera involucrata","Lonicera involucrata","Perennial"
"1910","LOMO2","LOMO2","FQA_SciName","Caprifoliaceae","Lonicera morrowii A. Gray","Lonicera morrowii","Lonicera","morrowii",NA,"0",0,"Non-native","Ackerfield 2015","Lonicera morrowii","Lonicera morrowii","Perennial"
"1911","LOTA","LOTA","FQA_SciName","Caprifoliaceae","Lonicera tatarica L.","Lonicera tatarica","Lonicera","tatarica",NA,"0",0,"Non-native","Ackerfield 2015","Lonicera tatarica","Lonicera tatarica","Perennial"
"1912","LOUT2","LOUT2","FQA_SciName","Caprifoliaceae","Lonicera utahensis S. Watson","Lonicera utahensis","Lonicera","utahensis",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Lonicera utahensis","Lonicera utahensis","Perennial"
