"","National_USDASymbol","FQA_USDASymbol","FQA_USDASymbolOrigin","FQA_Family","FQA_SciName_withAuthority","FQA_SciName_noAuthority","FQA_Genus","FQA_Species","FQA_Trinomial","FQA_C-Value2020","FQA_C-Value2020_Numeric","FQA_NativeStatus","FQA_NameOrigin","National_SciName_noAuthority","Ack_SciName_noAuthority","USDA_Duration"
"1913","LOCO6","LOCO6","FQA_SciName","Fabaceae","Lotus corniculatus L.","Lotus corniculatus","Lotus","corniculatus",NA,"0",0,"Non-native","Ackerfield 2015","Lotus corniculatus","Lotus corniculatus","Perennial"
"1914","LOTE4","LOTE4","FQA_SciName","Fabaceae","Lotus tenuis Waldst. & Kit. ex Willd.","Lotus tenuis","Lotus","tenuis",NA,"0",0,"Non-native","Ackerfield 2015","Lotus tenuis","Lotus tenuis","Perennial"
"1915","LOWR","LOWR","FQA_SciName","Fabaceae","Lotus wrightii (A. Gray) Greene","Lotus wrightii","Lotus","wrightii",NA,"6",6,"Native","Ackerfield 2015","Lotus wrightii","Lotus wrightii","Perennial"
"1916","LUAN","LUAN","FQA_SciName","Brassicaceae","Lunaria annua L.","Lunaria annua","Lunaria","annua",NA,"0",0,"Non-native","Ackerfield 2015","Lunaria annua","Lunaria annua","Annual, Biennial"
"1917","LUAM","LUAM","FQA_SciName","Fabaceae","Lupinus ammophilus Greene","Lupinus ammophilus","Lupinus","ammophilus",NA,"7",7,"Native","Ackerfield 2015","Lupinus ammophilus","Lupinus ammophilus","Perennial"
"1918","LUAR3","LUAR3","FQA_SciName","Fabaceae","Lupinus argenteus Pursh","Lupinus argenteus","Lupinus","argenteus",NA,"5",5,"Native","Ackerfield 2015","Lupinus argenteus","Lupinus argenteus","Perennial"
"1919","LUARA5","LUARA15","FQA_SciName","Fabaceae","Lupinus argenteus Pursh var. argenteus","Lupinus argenteus var. argenteus","Lupinus","argenteus","var. argenteus","5",5,"Native","Ackerfield 2015","Lupinus argenteus ssp. argenteus","Lupinus argenteus var. argenteus","Perennial"
"1920","LUPAF4","LUARF2","FQA_SciName","Fabaceae","Lupinus argenteus Pursh var. fulvomaculatus (Payson) Barneby","Lupinus argenteus var. fulvomaculatus","Lupinus","argenteus","var. fulvomaculatus","7",7,"Native","Ackerfield 2015","Lupinus parviflorus ssp. myrianthus var. fulvomaculatus","Lupinus argenteus var. fulvomaculatus","Perennial"
"1921","LUHO2","LUARH3","FQA_SciName","Fabaceae","Lupinus argenteus Pursh var. holosericeus (Nutt.) Barneby","Lupinus argenteus var. holosericeus","Lupinus","argenteus","var. holosericeus","7",7,"Native","Ackerfield 2015","Lupinus holosericeus","Lupinus argenteus var. holosericeus","Perennial"
"1922","LUPA8","LUARP4","FQA_SciName","Fabaceae","Lupinus argenteus Pursh var. parviflorus (Nutt. ex Hook. & Arn.) C.L. Hitchc.","Lupinus argenteus var. parviflorus","Lupinus","argenteus","var. parviflorus","7",7,"Native","Ackerfield 2015","Lupinus parviflorus","Lupinus argenteus var. parviflorus","Perennial"
"1923","LUARR","LUARR","FQA_SciName","Fabaceae","Lupinus argenteus Pursh ssp. rubricaulis (Greene) Hess & D. Dunn","Lupinus argenteus var. rubricaulis","Lupinus","argenteus","var. rubricaulis","7",7,"Native","Ackerfield 2015","Lupinus argenteus var. rubricaulis","Lupinus argenteus var. rubricaulis","Perennial"
"1924","LUBA3","LUBA3","FQA_SciName","Fabaceae","Lupinus bakeri Greene","Lupinus bakeri","Lupinus","bakeri",NA,"7",7,"Native","USDA PLANTS","Lupinus bakeri",NA,"Perennial"
"1925","LUBR2","LUBR2","FQA_SciName","Fabaceae","Lupinus brevicaulis S. Watson","Lupinus brevicaulis","Lupinus","brevicaulis",NA,"6",6,"Native","Ackerfield 2015","Lupinus brevicaulis","Lupinus brevicaulis","Annual"
"1926","LUCA","LUCA","FQA_SciName","Fabaceae","Lupinus caudatus Kellogg","Lupinus caudatus","Lupinus","caudatus",NA,"5",5,"Native","Ackerfield 2015","Lupinus caudatus","Lupinus caudatus","Perennial"
"1927","LUCAA","LUCAA2","FQA_SciName","Fabaceae","Lupinus caudatus Kellogg var. argophyllus (A. Gray) S.L. Welsh","Lupinus caudatus var. argophyllus","Lupinus","caudatus","var. argophyllus","5",5,"Native","Ackerfield 2015","Lupinus caudatus ssp. argophyllus","Lupinus caudatus var. argophyllus","Perennial"
"1928","LUCAU","LUCAU2","FQA_SciName","Fabaceae","Lupinus caudatus Kellogg var. utahensis (S. Watson) S.L. Welsh","Lupinus caudatus var. utahensis","Lupinus","caudatus","var. utahensis","5",5,"Native","Ackerfield 2015","Lupinus caespitosus var. utahensis","Lupinus caudatus var. utahensis","Perennial"
"1929","LUCR2","LUCR2","FQA_SciName","Fabaceae","Lupinus crassus Payson","Lupinus crassus","Lupinus","crassus",NA,"7",7,"Native","Ackerfield 2015","Lupinus crassus","Lupinus crassus","Perennial"
"1930","LUKI","LUKI","FQA_SciName","Fabaceae","Lupinus kingii S. Watson","Lupinus kingii","Lupinus","kingii",NA,"7",7,"Native","Ackerfield 2015","Lupinus kingii","Lupinus kingii","Annual"
"1931","LUCAU","LULEU2","FQA_SciName","Fabaceae","Lupinus lepidus Douglas ex Lindl. var. utahensis (S. Watson) C.L. Hitchc.","Lupinus lepidus var. utahensis","Lupinus","lepidus","var. utahensis","5",5,"Native","Ackerfield 2015","Lupinus caespitosus var. utahensis","Lupinus lepidus var. utahensis","Perennial"
"1932","LULE3","LULE3","FQA_SciName","Fabaceae","Lupinus leucophyllus Douglas ex Lindl.","Lupinus leucophyllus","Lupinus","leucophyllus",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Lupinus leucophyllus","Lupinus leucophyllus","Perennial"
"1933","LUPL","LUPL","FQA_SciName","Fabaceae","Lupinus plattensis S. Watson","Lupinus plattensis","Lupinus","plattensis",NA,"6",6,"Native","Ackerfield 2015","Lupinus plattensis","Lupinus plattensis","Perennial"
"1934","LUPO2","LUPO2","FQA_SciName","Fabaceae","Lupinus polyphyllus Lindl.","Lupinus polyphyllus","Lupinus","polyphyllus",NA,"6",6,"Native","Ackerfield 2015","Lupinus polyphyllus","Lupinus polyphyllus","Perennial"
"1935","LUWYW","LUPOH","FQA_SciName","Fabaceae","Lupinus polyphyllus Lindl. var. humicola (A. Nelson) Barneby","Lupinus polyphyllus var. humicola","Lupinus","polyphyllus","var. humicola","7",7,"Native","Ackerfield 2015","Lupinus wyethii ssp. wyethii","Lupinus polyphyllus var. humicola","Perennial"
"1936","LUPR2","LUPOP5","FQA_SciName","Fabaceae","Lupinus polyphyllus Lindl. var. prunophilus (M.E. Jones) L. Phillips","Lupinus polyphyllus var. prunophilus","Lupinus","polyphyllus","var. prunophilus","6",6,"Native","Ackerfield 2015","Lupinus prunophilus","Lupinus polyphyllus var. prunophilus","Perennial"
"1937","LUPU","LUPU","FQA_SciName","Fabaceae","Lupinus pusillus Pursh","Lupinus pusillus","Lupinus","pusillus",NA,"6",6,"Native","Ackerfield 2015","Lupinus pusillus","Lupinus pusillus","Annual"
"1938","LUSES2","LUSES2","FQA_SciName","Fabaceae","Lupinus sericeus Pursh var. sericeus","Lupinus sericeus var. sericeus","Lupinus","sericeus","var. sericeus","6",6,"Native","Ackerfield 2015","Lupinus sericeus ssp. sericeus","Lupinus sericeus var. sericeus","Perennial"
"1939","LUCO6","LUCO6","FQA_SciName","Juncaceae","Luzula comosa E. Mey.","Luzula comosa","Luzula","comosa",NA,"7",7,"Native","Ackerfield 2015","Luzula comosa","Luzula comosa","Perennial"
"1940","LUPA4","LUPA4","FQA_SciName","Juncaceae","Luzula parviflora (Ehrh.) Desv.","Luzula parviflora","Luzula","parviflora",NA,"7",7,"Native","Ackerfield 2015","Luzula parviflora","Luzula parviflora","Perennial"
"1941","LUSP4","LUSP4","FQA_SciName","Juncaceae","Luzula spicata (L.) DC.","Luzula spicata","Luzula","spicata",NA,"8",8,"Native","Ackerfield 2015","Luzula spicata","Luzula spicata","Perennial"
"1942","LUSU9","LUSU9","FQA_SciName","Juncaceae","Luzula subcapitata (Rydb.) Harrington","Luzula subcapitata","Luzula","subcapitata",NA,"8",8,"Native","Ackerfield 2015","Luzula subcapitata","Luzula subcapitata","Perennial"
"1943","LYBA4","LYBA4","FQA_SciName","Solanaceae","Lycium barbarum L.","Lycium barbarum","Lycium","barbarum",NA,"0",0,"Non-native","Ackerfield 2015","Lycium barbarum","Lycium barbarum","Perennial"
"1944","LYPA","LYPA","FQA_SciName","Solanaceae","Lycium pallidum Miers","Lycium pallidum","Lycium","pallidum",NA,"5",5,"Native","Ackerfield 2015","Lycium pallidum","Lycium pallidum","Perennial"
"1945","LYAN2","LYAN2","FQA_SciName","Lycopodiaceae","Lycopodium annotinum L.","Lycopodium annotinum","Lycopodium","annotinum",NA,"7",7,"Native","Ackerfield 2015","Lycopodium annotinum","Lycopodium annotinum","Perennial"
"1946","LYAM","LYAM","FQA_SciName","Lamiaceae","Lycopus americanus Muhl. ex W. Bartram","Lycopus americanus","Lycopus","americanus",NA,"5",5,"Native","Ackerfield 2015","Lycopus americanus","Lycopus americanus","Perennial"
"1947","LYAS","LYAS","FQA_SciName","Lamiaceae","Lycopus asper Greene","Lycopus asper","Lycopus","asper",NA,"5",5,"Native","Ackerfield 2015","Lycopus asper","Lycopus asper","Perennial"
"1948","LYUN","LYUN","FQA_SciName","Lamiaceae","Lycopus uniflorus Michx.","Lycopus uniflorus","Lycopus","uniflorus",NA,"5",5,"Native","Ackerfield 2015","Lycopus uniflorus","Lycopus uniflorus","Perennial"
"1949","LYGR","LYGR","FQA_SciName","Asteraceae","Lygodesmia grandiflora (Nutt.) Torr. & A. Gray","Lygodesmia grandiflora","Lygodesmia","grandiflora",NA,"5",5,"Native","Ackerfield 2015","Lygodesmia grandiflora","Lygodesmia grandiflora","Perennial"
"1950","LYAR2","LYGRA","FQA_SciName","Asteraceae","Lygodesmia grandiflora (Nutt.) Torr. & A. Gray var. arizonica (S. Tomb) S.L. Welsh","Lygodesmia grandiflora var. arizonica","Lygodesmia","grandiflora","var. arizonica","5",5,"Native","Ackerfield 2015","Lygodesmia arizonica","Lygodesmia grandiflora var. arizonica","Perennial"
"1951","LYDO","LYGRD2","FQA_SciName","Asteraceae","Lygodesmia grandiflora (Nutt.) Torr. & A. Gray var. doloresensis (S. Tomb) S.L. Welsh","Lygodesmia grandiflora var. doloresensis","Lygodesmia","grandiflora","var. doloresensis","6",6,"Native","Ackerfield 2015","Lygodesmia doloresensis","Lygodesmia grandiflora var. doloresensis","Perennial"
"1952","LYGR","ZZ_LYGRG50","FQA_SciName InventedSymbol","Asteraceae","Lygodesmia grandiflora (Nutt.) Torr. & A. Gray var. grandiflora","Lygodesmia grandiflora var. grandiflora","Lygodesmia","grandiflora","var. grandiflora","6",6,"Native","Ackerfield 2015","Lygodesmia grandiflora","Lygodesmia grandiflora var. grandiflora","Perennial"
"1953","LYJU","LYJU","FQA_SciName","Asteraceae","Lygodesmia juncea (Pursh) D. Don ex Hook.","Lygodesmia juncea","Lygodesmia","juncea",NA,"4",4,"Native","Ackerfield 2015","Lygodesmia juncea","Lygodesmia juncea","Perennial"
"1954","LYCI","LYCI","FQA_SciName","Myrsinaceae","Lysimachia ciliata L.","Lysimachia ciliata","Lysimachia","ciliata",NA,"6",6,"Native","Ackerfield 2015","Lysimachia ciliata","Lysimachia ciliata","Perennial"
"1955","LYNU","LYNU","FQA_SciName","Myrsinaceae","Lysimachia nummularia L.","Lysimachia nummularia","Lysimachia","nummularia",NA,"0",0,"Non-native","Ackerfield 2015","Lysimachia nummularia","Lysimachia nummularia","Perennial"
"1956","LYTH2","LYTH2","FQA_SciName","Myrsinaceae","Lysimachia thyrsiflora L.","Lysimachia thyrsiflora","Lysimachia","thyrsiflora",NA,"9",9,"Native","Ackerfield 2015","Lysimachia thyrsiflora","Lysimachia thyrsiflora","Perennial"
"1957","LYVU","LYVU","FQA_SciName","Myrsinaceae","Lysimachia vulgaris L.","Lysimachia vulgaris","Lysimachia","vulgaris",NA,"0",0,"Non-native","USDA PLANTS","Lysimachia vulgaris",NA,"Perennial"
"1958","LYAL4","LYAL4","FQA_SciName","Lythraceae","Lythrum alatum Pursh","Lythrum alatum","Lythrum","alatum",NA,"7",7,"Native","Ackerfield 2015","Lythrum alatum","Lythrum alatum","Perennial"
"1959","LYSA2","LYSA2","FQA_SciName","Lythraceae","Lythrum salicaria L.","Lythrum salicaria","Lythrum","salicaria",NA,"0",0,"Non-native","Ackerfield 2015","Lythrum salicaria","Lythrum salicaria","Perennial"
"1960","MATA2","MATA2","FQA_SciName","Asteraceae","Machaeranthera tanacetifolia (Kunth) Nees","Machaeranthera tanacetifolia","Machaeranthera","tanacetifolia",NA,"2",2,"Native","Ackerfield 2015","Machaeranthera tanacetifolia","Machaeranthera tanacetifolia","Annual, Biennial"
"1961","MAPO","MAPO","FQA_SciName","Moraceae","Maclura pomifera (Raf.) C.K. Schneid.","Maclura pomifera","Maclura","pomifera",NA,"0",0,"Non-native","Ackerfield 2015","Maclura pomifera","Maclura pomifera","Perennial"
"1962","MAGL2","MAGL2","FQA_SciName","Asteraceae","Madia glomerata Hook.","Madia glomerata","Madia","glomerata",NA,"3",3,"Native","Ackerfield 2015","Madia glomerata","Madia glomerata","Annual"
"1963","MARAA","MARAA","FQA_SciName","Ruscaceae","Maianthemum racemosum (L.) Link ssp. amplexicaule (Nutt.) LaFrankie","Maianthemum racemosum ssp. amplexicaule","Maianthemum","racemosum","ssp. amplexicaule","7",7,"Native","Ackerfield 2015","Maianthemum racemosum ssp. amplexicaule","Maianthemum racemosum ssp. amplexicaule","Perennial"
"1964","MAST4","MAST4","FQA_SciName","Ruscaceae","Maianthemum stellatum (L.) Link","Maianthemum stellatum","Maianthemum","stellatum",NA,"7",7,"Native","Ackerfield 2015","Maianthemum stellatum","Maianthemum stellatum","Perennial"
"1965","MASO","MASO","FQA_SciName","Asteraceae","Malacothrix sonchoides (Nutt.) Torr. & A. Gray","Malacothrix sonchoides","Malacothrix","sonchoides",NA,"5",5,"Native","Ackerfield 2015","Malacothrix sonchoides","Malacothrix sonchoides","Annual"
"1966","MATO2","MATO2","FQA_SciName","Asteraceae","Malacothrix torreyi A. Gray","Malacothrix torreyi","Malacothrix","torreyi",NA,"5",5,"Native","Ackerfield 2015","Malacothrix torreyi","Malacothrix torreyi","Annual"
"1967","MABR5","MAMOB","FQA_SciName","Orchidaceae","Malaxis monophyllos (L.) Sw. var. brachypoda (A. Gray) F. Morris & Eames","Malaxis monophyllos var. brachypoda","Malaxis","monophyllos","var. brachypoda","10",10,"Native","Ackerfield 2015","Malaxis brachypoda","Malaxis monophyllos var. brachypoda","Perennial"
"1968","MAPU","MAPU","FQA_SciName","Rosaceae","Malus pumila Mill.","Malus pumila","Malus","pumila",NA,"0",0,"Non-native","Ackerfield 2015","Malus pumila","Malus pumila","Perennial"
"1969","MANE","MANE","FQA_SciName","Malvaceae","Malva neglecta Wallr.","Malva neglecta","Malva","neglecta",NA,"0",0,"Non-native","Ackerfield 2015","Malva neglecta","Malva neglecta","Annual, Biennial, Perennial"
"1970","MAPA5","MAPA5","FQA_SciName","Malvaceae","Malva parviflora L.","Malva parviflora","Malva","parviflora",NA,"0",0,"Non-native","Ackerfield 2015","Malva parviflora","Malva parviflora","Annual, Biennial, Perennial"
"1971","MAPU5","MAPU5","FQA_SciName","Malvaceae","Malva pusilla Sm.","Malva pusilla","Malva","pusilla",NA,"0",0,"Non-native","Ackerfield 2015","Malva pusilla","Malva pusilla","Annual, Biennial"
"1972","MASY","MASY","FQA_SciName","Malvaceae","Malva sylvestris L.","Malva sylvestris","Malva","sylvestris",NA,"0",0,"Non-native","Ackerfield 2015","Malva sylvestris","Malva sylvestris","Annual, Biennial, Perennial"
"1973","MAVE","MAVE","FQA_SciName","Malvaceae","Malva verticillata L.","Malva verticillata","Malva","verticillata",NA,"0",0,"Non-native","Ackerfield 2015","Malva verticillata","Malva verticillata","Annual"
"1974","MALE3","MALE3","FQA_SciName","Malvaceae","Malvella leprosa (Ortega) Krapov.","Malvella leprosa","Malvella","leprosa",NA,"7",7,"Native","Ackerfield 2015","Malvella leprosa","Malvella leprosa","Perennial"
"1975","MASA3","MASA3","FQA_SciName","Malvaceae","Malvella sagittifolia (A. Gray) Fryxell","Malvella sagittifolia","Malvella","sagittifolia",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Malvella sagittifolia","Malvella sagittifolia","Perennial"
"1976","MAVU","MAVU","FQA_SciName","Lamiaceae","Marrubium vulgare L.","Marrubium vulgare","Marrubium","vulgare",NA,"0",0,"Non-native","Ackerfield 2015","Marrubium vulgare","Marrubium vulgare","Perennial"
"1977","MAVE2","MAVE2","FQA_SciName","Marsileaceae","Marsilea vestita Hook. & Grev.","Marsilea vestita","Marsilea","vestita",NA,"7",7,"Native","Ackerfield 2015","Marsilea vestita","Marsilea vestita","Perennial"
"1978","MADI6","MADI6","FQA_SciName","Asteraceae","Matricaria discoidea DC.","Matricaria discoidea","Matricaria","discoidea",NA,"1",1,"Native","Ackerfield 2015","Matricaria discoidea","Matricaria discoidea","Annual"
"1979","MESAF","MEFA","FQA_SciName","Fabaceae","Medicago falcata L.","Medicago falcata","Medicago","falcata",NA,"0",0,"Non-native","Ackerfield 2015","Medicago sativa ssp. falcata","Medicago falcata","Annual, Perennial"
"1980","MELU","MELU","FQA_SciName","Fabaceae","Medicago lupulina L.","Medicago lupulina","Medicago","lupulina",NA,"0",0,"Non-native","Ackerfield 2015","Medicago lupulina","Medicago lupulina","Annual, Perennial"
"1981","MESA","MESA","FQA_SciName","Fabaceae","Medicago sativa L.","Medicago sativa","Medicago","sativa",NA,"0",0,"Non-native","Ackerfield 2015","Medicago sativa","Medicago sativa","Annual, Perennial"
"1982","MELE2","MELE2","FQA_SciName","Asteraceae","Melampodium leucanthum Torr. & A. Gray","Melampodium leucanthum","Melampodium","leucanthum",NA,"6",6,"Native","Ackerfield 2015","Melampodium leucanthum","Melampodium leucanthum","Perennial"
"1983","MEBU","MEBU","FQA_SciName","Poaceae","Melica bulbosa Geyer ex Porter & J.M. Coult.","Melica bulbosa","Melica","bulbosa",NA,"6",6,"Native","Ackerfield 2015","Melica bulbosa","Melica bulbosa","Perennial"
"1984","MEPO","MEPO","FQA_SciName","Poaceae","Melica porteri Scribn.","Melica porteri","Melica","porteri",NA,"9",9,"Native","Ackerfield 2015","Melica porteri","Melica porteri","Perennial"
"1985","MESP","MESP","FQA_SciName","Poaceae","Melica spectabilis Scribn.","Melica spectabilis","Melica","spectabilis",NA,"8",8,"Native","Ackerfield 2015","Melica spectabilis","Melica spectabilis","Perennial"
"1986","MESUS","MESUS","FQA_SciName","Poaceae","Melica subulata (Griseb.) Scribn. var. subulata","Melica subulata var. subulata","Melica","subulata","var. subulata","Not Assigned",NA,"Native","Ackerfield 2015","Melica subulata var. subulata","Melica subulata var. subulata","Perennial"
"1987","MEOF","MEAL2","FQA_SciName","Fabaceae","Melilotus albus Medik.","Melilotus albus","Melilotus","albus",NA,"0",0,"Non-native","Ackerfield 2015","Melilotus officinalis","Melilotus albus","Annual, Biennial, Perennial"
"1988","MEOF","MEOF","FQA_SciName","Fabaceae","Melilotus officinalis (L.) Lam.","Melilotus officinalis","Melilotus","officinalis",NA,"0",0,"Non-native","Ackerfield 2015","Melilotus officinalis","Melilotus officinalis","Annual, Biennial, Perennial"
"1989","MESC","MESC","FQA_SciName","Oleaceae","Menodora scabra A. Gray","Menodora scabra","Menodora","scabra",NA,"9",9,"Native","Ackerfield 2015","Menodora scabra","Menodora scabra","Perennial"
"1990","MEPI","MEPI","FQA_SciName","Lamiaceae","Mentha ×piperita L. (pro sp.)","Mentha ×piperita","Mentha","×piperita",NA,"0",0,"Non-native","Ackerfield 2015","Mentha ×piperita","Mentha ×piperita","Perennial"
"1991","MEAR4","MEAR4","FQA_SciName","Lamiaceae","Mentha arvensis L.","Mentha arvensis","Mentha","arvensis",NA,"4",4,"Native","Ackerfield 2015","Mentha arvensis","Mentha arvensis","Perennial"
"1992","MESP3","MESP3","FQA_SciName","Lamiaceae","Mentha spicata L.","Mentha spicata","Mentha","spicata",NA,"0",0,"Non-native","Ackerfield 2015","Mentha spicata","Mentha spicata","Perennial"
"1993","MEAL6","MEAL6","FQA_SciName","Loasaceae","Mentzelia albicaulis (Hook.) Torr. & A. Gray","Mentzelia albicaulis","Mentzelia","albicaulis",NA,"4",4,"Native","Ackerfield 2015","Mentzelia albicaulis","Mentzelia albicaulis","Annual"
"1994","MECH","MECH","FQA_SciName","Loasaceae","Mentzelia chrysantha Engelm. ex Brandegee","Mentzelia chrysantha","Mentzelia","chrysantha",NA,"4",4,"Native","Ackerfield 2015","Mentzelia chrysantha","Mentzelia chrysantha","Biennial"
"1995","MECR4","MECR4","FQA_SciName","Loasaceae","Mentzelia cronquistii H.J. Thomp. & Prigge","Mentzelia cronquistii","Mentzelia","cronquistii",NA,"7",7,"Native","Ackerfield 2015","Mentzelia cronquistii","Mentzelia cronquistii","Perennial"
"1996","MEDE2","MEDE2","FQA_SciName","Loasaceae","Mentzelia decapetala (Pursh ex Sims) Urb. & Gilg ex Gilg","Mentzelia decapetala","Mentzelia","decapetala",NA,"5",5,"Native","Ackerfield 2015","Mentzelia decapetala","Mentzelia decapetala","Biennial, Perennial"
"1997","MEDE3","MEDE3","FQA_SciName","Loasaceae","Mentzelia densa Greene","Mentzelia densa","Mentzelia","densa",NA,"4",4,"Native","Ackerfield 2015","Mentzelia densa","Mentzelia densa","Perennial"
"1998","MEDI","MEDI","FQA_SciName","Loasaceae","Mentzelia dispersa S. Watson","Mentzelia dispersa","Mentzelia","dispersa",NA,"7",7,"Native","Ackerfield 2015","Mentzelia dispersa","Mentzelia dispersa","Annual"
"1999","MELA","MELA","FQA_SciName","Loasaceae","Mentzelia laciniata (Rydb.) J. Darl.","Mentzelia laciniata","Mentzelia","laciniata",NA,"7",7,"Native","Ackerfield 2015","Mentzelia laciniata","Mentzelia laciniata","Perennial"
"2000","MELA2","MELA2","FQA_SciName","Loasaceae","Mentzelia laevicaulis (Hook.) Torr. & A. Gray","Mentzelia laevicaulis","Mentzelia","laevicaulis",NA,"7",7,"Native","Ackerfield 2015","Mentzelia laevicaulis","Mentzelia laevicaulis","Biennial, Perennial"
"2001","MEPUL","MEPUL","National_SciName","Loasaceae","Mentzelia lagarosa (K.H. Thorne) J.J. Schenk & L. Hufford","Mentzelia lagarosa","Mentzelia","lagarosa",NA,"7",7,"Native","Ackerfield 2015","Mentzelia pumila var. lagarosa","Mentzelia lagarosa","Biennial"
"2002","MEMA5","MEMA5","FQA_SciName","Loasaceae","Mentzelia marginata (Osterh.) H.J. Thomp. & Prigge","Mentzelia marginata","Mentzelia","marginata",NA,"7",7,"Native","Ackerfield 2015","Mentzelia marginata","Mentzelia marginata","Perennial"
"2003","MEMUM","MEMU2","FQA_SciName","Loasaceae","Mentzelia multicaulis (Osterh.) A. Nelson ex J. Darl.","Mentzelia multicaulis","Mentzelia","multicaulis",NA,"4",4,"Native","Ackerfield 2015","Mentzelia multicaulis var. multicaulis","Mentzelia multicaulis","Perennial"
"2004","MEMU3","MEMU3","FQA_SciName","Loasaceae","Mentzelia multiflora (Nutt.) A. Gray","Mentzelia multiflora","Mentzelia","multiflora",NA,"5",5,"Native","Ackerfield 2015","Mentzelia multiflora","Mentzelia multiflora","Biennial, Perennial"
"2005","MENU","MENU","FQA_SciName","Loasaceae","Mentzelia nuda (Pursh) Torr. & A. Gray","Mentzelia nuda","Mentzelia","nuda",NA,"4",4,"Native","Ackerfield 2015","Mentzelia nuda","Mentzelia nuda","Perennial, Biennial"
"2006","MEOL","MEOL","FQA_SciName","Loasaceae","Mentzelia oligosperma Nutt. ex Sims","Mentzelia oligosperma","Mentzelia","oligosperma",NA,"5",5,"Native","Ackerfield 2015","Mentzelia oligosperma","Mentzelia oligosperma","Perennial"
"2007",NA,"ZZ_MEPA50","FQA_SciName InventedSymbol - Not in PLANTS","Loasaceae","Mentzelia paradoxensis J.J. Schenk & L. Hufford","Mentzelia paradoxensis","Mentzelia","paradoxensis",NA,"8",8,"Native","Ackerfield 2015",NA,"Mentzelia paradoxensis","Biennial, Perennial"
"2008","MEPUP","MEPUP","National_SciName","Loasaceae","Mentzelia procera (Wooten & Standl.) J.J. Schenk & L. Hufford","Mentzelia procera","Mentzelia","procera",NA,"Not Assigned",NA,"Native","Ackerfield 2015","Mentzelia pumila var. pumila ","Mentzelia procera","Biennial"
